,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
575,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Full HD 1920x1080,Intel Pentium Quad Core N4200 1.1GHz,4GB,500GB HDD,Intel HD Graphics 630 Mobile  DirectX 12.00,Windows 10,2.2kg,344
778,Acer,Aspire A315-31,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 630 Mobile  DirectX 12.00,Linux,2.1kg,298
788,Asus,Vivobook Max,Notebook,15.6,1920x1080,Intel Pentium Dual Core N4200 1.1GHz,8GB,128GB SSD,Intel HD Graphics 630 Mobile  DirectX 12.00,Windows 10,2kg,581.9
813,Dell,Latitude 3180,Netbook,11.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,128GB SSD,Intel HD Graphics 630 Mobile  DirectX 12.00,Windows 10,1.63kg,744
867,Asus,X541NA (N4200/4GB/1TB/W10),Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 630 Mobile  DirectX 12.00,Windows 10,2kg,449
887,Asus,X541NA-GO121 (N4200/4GB/1TB/Linux),Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 630 Mobile  DirectX 12.00,Linux,2kg,398.99
944,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 630 Mobile  DirectX 12.00,Windows 10,2.2kg,309
971,HP,ProBook x360,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,256GB SSD,Intel HD Graphics 630 Mobile  DirectX 12.00,Windows 10,1.45kg,775
1011,Acer,Aspire ES1-533,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,500GB HDD,Intel HD Graphics 630 Mobile  DirectX 12.00,Windows 10,2.4kg,380
322,Lenovo,ThinkPad 13,Notebook,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,16GB Flash Storage,Intel Iris Graphics 520  DirectX 12.00,Chrome OS,1.45kg,459.9
697,Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,15.6,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,500GB HDD,Intel Iris Graphics 520  DirectX 12.00,Windows 10,2.1kg,318
698,Acer,Chromebook 14,Notebook,14,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,32GB Flash Storage,Intel Iris Graphics 520  DirectX 12.00,Chrome OS,1.45kg,375
834,Toshiba,Satellite Pro,Notebook,14,1366x768,Intel Pentium Dual Core 4405U 2.1GHz,4GB,128GB SSD,Intel Iris Graphics 520  DirectX 12.00,Windows 10,1.75kg,499
149,HP,EliteBook Folio,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core M 6Y75 1.2GHz,8GB,512GB SSD,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Windows 10,0.97kg,2014
569,HP,EliteBook 1030,Ultrabook,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core M 6Y75 1.2GHz,16GB,512GB SSD,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Windows 10,1.16kg,1965
705,Asus,Chromebook Flip,2 in 1 Convertible,12.5,Full HD / Touchscreen 1920x1080,Intel Core M M3-6Y30 0.9GHz,4GB,64GB Flash Storage,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Chrome OS,1.2kg,669
924,HP,Elitebook Folio,Ultrabook,12.5,4K Ultra HD / Touchscreen 3840x2160,Intel Core M 6Y75 1.2GHz,8GB,240GB SSD,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Windows 10,1.09kg,3100
958,Lenovo,Yoga 700-11ISK,2 in 1 Convertible,11.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core M m7-6Y75 1.2GHz,8GB,256GB SSD,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Windows 10,1.1kg,1299
967,Asus,Chromebook Flip,2 in 1 Convertible,12.5,Full HD 1920x1080,Intel Core M M7-6Y75 1.2GHz,8GB,64GB Flash Storage,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Chrome OS,1.2kg,1159
1004,HP,EliteBook Folio,Netbook,12.5,Full HD 1920x1080,Intel Core M 6Y75 1.2GHz,8GB,512GB SSD,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Windows 10,0.97kg,1908
1084,Apple,"MacBook 12""",Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core M 1.1GHz,8GB,256GB Flash Storage,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Mac OS X,0.920kg,1300
1095,Lenovo,Yoga 900S-12ISK,Ultrabook,12.5,IPS Panel Touchscreen 2560x1440,Intel Core M 6Y75 1.2GHz,8GB,512GB SSD,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Windows 10,0.99kg,1399
1125,HP,EliteBook 1030,Notebook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core M 6Y54 1.1GHz,8GB,256GB SSD,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Windows 10,1.16kg,1699
1103,HP,Chromebook 13,Notebook,13.3,Quad HD+ 3200x1800,Intel Pentium Dual Core 4405Y 1.5GHz,4GB,32GB Flash Storage,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Chrome OS,1.29kg,615
1228,Apple,"MacBook 12""",Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core M 1.2GHz,8GB,512GB Flash Storage,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Mac OS X,0.920kg,1279
1279,Asus,ZenBook UX305CA-UBM1,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core M 6Y30 0.9GHz,8GB,512GB SSD,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Windows 10,1.2kg,729
1293,Asus,ZenBook UX305CA-UBM1,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core M 6Y30 0.9GHz,8GB,512GB SSD,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Windows 10,1.2kg,729
1307,Asus,ZenBook UX305CA-UBM1,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core M 6Y30 0.9GHz,8GB,512GB SSD,Intel Iris Pro Graphics 10th Gen Mobile  DirectX 12.00,Windows 10,1.2kg,729
146,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.1kg,602
163,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3 6006U 2.2GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.1kg,447
12,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,No OS,1.86kg,344.99
205,Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.1kg,493
26,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.3kg,418.64
227,Toshiba,Portege Z30-C-16L,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.2kg,1363
239,Acer,Aspire R7,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.6kg,689
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,No OS,2.2kg,369
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.91kg,439
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Linux,2kg,415
278,Lenovo,ThinkPad X1,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.36kg,2499
76,Acer,Aspire E5-475,Notebook,14,1366x768,Intel Core i3 6006U 2.0GHz,8GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.1kg,389
109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.85kg,414.9
152,Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.1kg,447
180,Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.1kg,449
217,HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,No OS,2.1kg,349
241,Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Linux,2.1kg,390
245,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,8GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.2kg,589
266,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,No OS,2.2kg,444
413,Toshiba,Portege Z30-C-16P,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.2kg,1747
283,Lenovo,IdeaPad 320-17ISK,Notebook,17.3,1600x900,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.8kg,489
297,HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,17.3,1600x900,Intel Core i3 6006U 2.0GHz,8GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.54kg,489
420,Acer,Aspire R7,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.6kg,789.01
314,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.86kg,469
424,HP,EliteBook 1040,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.43kg,1500
339,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.85kg,449
366,HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.86kg,439
387,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,No OS,1.85kg,403.5
476,Lenovo,Thinkpad T460s,Ultrabook,14,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6600U 2.6GHz,12GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.4kg,1858
482,Dell,Latitude E5470,Notebook,14,1366x768,Intel Core i3 6100U 2.3GHz,8GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.79kg,740
491,Lenovo,ThinkPad E570,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.3kg,565
502,Lenovo,Thinkpad X260,Ultrabook,12.5,IPS Panel 1366x768,Intel Core i5 6200U 2.3GHz,8GB,180GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.3kg,1099
415,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.2kg,409
532,Lenovo,ThinkPad L470,Notebook,14,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 7,2.02kg,1340
423,Dell,Latitude 3380,Notebook,13.3,1366x768,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.65kg,689
554,Lenovo,V310-15ISK (i5-6200U/4GB/1TB/FHD/No,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,No OS,2.15kg,462.35
466,HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Notebook,17.3,1600x900,Intel Core i3 6006U 2.0GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.5kg,639.9
530,HP,ProBook 440,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.63kg,689
594,Lenovo,Thinkpad T460s,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,12GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.4kg,1673
597,Asus,TP501UA-CJ131T (i5-7200U/8GB/1TB/W10),2 in 1 Convertible,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.2kg,739
548,Dell,Vostro 5468,Notebook,14,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.6kg,735.87
602,Lenovo,IdeaPad 110-15ISK,Notebook,15.6,1366x768,Intel Core i3 6100U 2.3GHz,8GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.29kg,459
555,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.86kg,397
613,Toshiba,Tecra Z50-C-144,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.2kg,1399
619,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Linux,2.18kg,443.9
620,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Linux,2.25kg,359
628,Lenovo,ThinkPad T470,Notebook,14,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 7,1.65kg,1465
631,HP,EliteBook 850,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 7,1.88kg,932
557,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.2kg,499
560,HP,17-X047na (i3-6006U/8GB/1TB/W10),Notebook,17.3,1600x900,Intel Core i3 6006U 2.0GHz,8GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.65kg,544.15
656,Toshiba,Portege Z30-C-16J,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.2kg,1213
601,Lenovo,V320-17ISK (i3-6006U/4GB/500GB/FHD/No,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,No OS,2.8kg,529
668,Dell,Latitude E7470,Notebook,14,Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.56kg,1229
670,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.2kg,535
673,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3 6100U 2.1GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.1kg,498
652,Acer,Extensa EX2540,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.4kg,450
662,HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,No OS,1.86kg,364.9
706,Toshiba,Portege Z30T-C-133,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.36kg,1877
716,Lenovo,Thinkpad T460p,Notebook,14,Full HD 1920x1080,Intel Core i5 6300HQ 2.3GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.8kg,1191
677,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Linux,2.1kg,412
728,Lenovo,ThinkPad X1,Ultrabook,14,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6500U 2.5GHz,8GB,512GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.17kg,1686.64
712,Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,No OS,1.90kg,450
747,Acer,Aspire ES1-572,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.4kg,410.8
749,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2kg,665
760,HP,EliteBook 850,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.84kg,1900
762,Lenovo,Thinkpad T460,Ultrabook,14,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,180GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.7kg,1096
755,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.86kg,539
774,Acer,TravelMate P238-M,Notebook,13.3,1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.6kg,655
781,Toshiba,Tecra A40-C-1E5,Notebook,14,IPS Panel 1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.75kg,1020
783,HP,EliteBook 820,Ultrabook,12.5,1366x768,Intel Core i5 6200U 2.3GHz,4GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.26kg,1244
773,Dell,Latitude 3380,Notebook,13.3,1366x768,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.65kg,849
815,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.1kg,780
828,Dell,Latitude 3480,Notebook,14,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.76kg,755
829,Lenovo,V110-15ISK (i3-6006U/4GB/500GB/W10),Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.1kg,489.9
840,Lenovo,Thinkpad X1,Ultrabook,14,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.1kg,2099
842,Lenovo,Thinkpad T460,Notebook,14,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.7kg,1186
854,HP,EliteBook 840,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,512GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 7,1.54kg,1870
859,HP,EliteBook 840,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,512GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.54kg,1468
869,Dell,Inspiron 5368,Notebook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.62kg,649
870,Lenovo,IdeaPad 110-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,No OS,2.2kg,469
876,HP,Probook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.07kg,910
877,Toshiba,Portégé Z30-C-188,Ultrabook,13.3,1366x768,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.2kg,1095
836,Dell,Latitude 3480,Notebook,14,1366x768,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.76kg,585
939,Dell,Latitude 3580,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.95kg,729.9
941,HP,Probook 650,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.31kg,1165
943,HP,ProBook 640,Notebook,14,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.95kg,1149
945,HP,EliteBook 820,Ultrabook,12.5,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.26kg,1579
948,Toshiba,Tecra Z40-C-12X,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.47kg,1105
949,HP,EliteBook 820,Netbook,12.5,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.26kg,1669
950,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.18kg,558.6
957,Toshiba,Tecra A50-C-1ZV,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,2.2kg,1119
966,Toshiba,Portege Z30-C-1CW,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 7,1.2kg,1460
968,Lenovo,Thinkpad T460,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.7kg,1488.99
972,Dell,XPS 13,Ultrabook,13.3,Quad HD+ 3200x1800,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.3kg,1268
974,Toshiba,Portege Z30-C-16Z,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.2kg,1535
985,Dell,Latitude E7470,Ultrabook,14,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,Intel Iris Xe Graphics G7 96EU  DirectX 12.00,Windows 10,1.5kg,1962.98
